Year,job_title,experience_level,employment_type,salary,salary_currency,salary_in_usd,company_location,employee_residence,% Remote_work,company_size
2023,Business Data Analyst,Senior/Expert,Full-time,65000,GBP,79976,GI,ES,100,Large
2023,Business Intelligence Analyst,Senior/Expert,Full-time,115600,USD,115600,US,US,0,Medium
2023,Business Intelligence Analyst,Senior/Expert,Full-time,79700,USD,79700,US,US,0,Medium
2023,Applied Scientist,Entry/Junior,Full-time,281700,USD,281700,US,US,0,Medium
2023,Applied Scientist,Entry/Junior,Full-time,141100,USD,141100,US,US,0,Medium
2023,Data Specialist,Senior/Expert,Full-time,173100,USD,173100,US,US,0,Medium
2023,Data Specialist,Senior/Expert,Full-time,86900,USD,86900,US,US,0,Medium
2023,Machine Learning Engineer,Mid/Intermediate,Full-time,258700,USD,258700,US,US,0,Medium
2023,Machine Learning Engineer,Mid/Intermediate,Full-time,133800,USD,133800,US,US,0,Medium
2023,Data Analyst,Mid/Intermediate,Full-time,120000,USD,120000,US,US,0,Medium
2023,Data Analyst,Mid/Intermediate,Full-time,85000,USD,85000,US,US,0,Medium
2023,Machine Learning Engineer,Mid/Intermediate,Full-time,225300,USD,225300,US,US,0,Medium
2023,Machine Learning Engineer,Mid/Intermediate,Full-time,197400,USD,197400,US,US,0,Medium
2023,Data Analyst,Senior/Expert,Full-time,157000,USD,157000,US,US,100,Medium
2023,Data Analyst,Senior/Expert,Full-time,125000,USD,125000,US,US,100,Medium
2023,Data Scientist,Senior/Expert,Full-time,208000,USD,208000,US,US,0,Medium
2023,Data Scientist,Senior/Expert,Full-time,134000,USD,134000,US,US,0,Medium
2023,Data Engineer,Mid/Intermediate,Full-time,140000,USD,140000,US,US,0,Medium
2023,Data Engineer,Mid/Intermediate,Full-time,65000,USD,65000,US,US,0,Medium
2023,Data Scientist,Senior/Expert,Full-time,258700,USD,258700,US,US,0,Medium
2023,Data Scientist,Senior/Expert,Full-time,160000,USD,160000,US,US,0,Medium
2023,Data Scientist,Senior/Expert,Full-time,188200,USD,188200,US,US,0,Medium
2023,Data Engineer,Mid/Intermediate,Full-time,40000,GBP,49216,GB,GB,0,Medium
2023,Data Engineer,Mid/Intermediate,Full-time,110000,USD,110000,US,US,0,Medium
2023,Data Engineer,Mid/Intermediate,Full-time,73400,USD,73400,US,US,0,Medium
2023,Data Engineer,Senior/Expert,Full-time,183414,USD,183414,US,US,0,Medium
2023,Data Engineer,Senior/Expert,Full-time,130000,USD,130000,US,US,0,Medium
2023,Data Engineer,Senior/Expert,Full-time,97200,USD,97200,US,US,0,Medium
2023,Machine Learning Engineer,Senior/Expert,Full-time,299000,USD,299000,US,US,0,Medium
2023,Machine Learning Engineer,Senior/Expert,Full-time,187000,USD,187000,US,US,0,Medium
2023,Machine Learning Engineer,Senior/Expert,Full-time,204500,USD,204500,US,US,0,Medium
2023,Machine Learning Engineer,Senior/Expert,Full-time,66000,USD,66000,US,US,0,Medium
2023,Machine Learning Engineer,Senior/Expert,Full-time,190000,USD,190000,US,US,100,Medium
2023,Machine Learning Engineer,Senior/Expert,Full-time,140000,USD,140000,US,US,100,Medium
2023,Data Engineer,Mid/Intermediate,Full-time,170200,USD,170200,US,US,0,Medium
2023,Data Engineer,Mid/Intermediate,Full-time,83900,USD,83900,US,US,0,Medium
2023,Data Engineer,Senior/Expert,Full-time,130000,USD,130000,US,US,100,Medium
2023,Data Engineer,Senior/Expert,Full-time,101570,USD,101570,US,US,100,Medium
2023,Data Analyst,Senior/Expert,Full-time,177000,USD,177000,US,US,100,Medium
2023,Data Analyst,Senior/Expert,Full-time,118000,USD,118000,US,US,100,Medium
2023,Machine Learning Engineer,Senior/Expert,Full-time,234500,USD,234500,US,US,0,Medium
2023,Machine Learning Engineer,Senior/Expert,Full-time,127000,USD,127000,US,US,0,Medium
2023,ML Engineer,Senior/Expert,Full-time,170000,AUD,114979,AU,AU,100,Large
2023,Data Scientist,Senior/Expert,Full-time,287500,USD,287500,US,US,0,Medium
2023,Data Scientist,Senior/Expert,Full-time,168000,USD,168000,US,US,0,Medium
2023,Data Engineer,Senior/Expert,Full-time,155000,USD,155000,US,US,0,Medium
2023,Data Engineer,Senior/Expert,Full-time,140000,USD,140000,US,US,0,Medium
2023,Data Lead,Executive/Director,Full-time,230000,USD,230000,US,US,0,Medium
2023,Data Lead,Executive/Director,Full-time,180000,USD,180000,US,US,0,Medium
2023,Data Scientist,Senior/Expert,Full-time,153000,USD,153000,US,US,0,Medium
2023,Data Scientist,Senior/Expert,Full-time,136000,USD,136000,US,US,0,Medium
2023,Data Analyst,Senior/Expert,Full-time,93918,USD,93918,US,US,0,Medium
2023,Data Analyst,Senior/Expert,Full-time,51962,USD,51962,US,US,0,Medium
2023,Machine Learning Engineer,Senior/Expert,Full-time,254000,USD,254000,US,US,0,Medium
2023,Machine Learning Engineer,Senior/Expert,Full-time,200000,USD,200000,US,US,0,Medium
2023,Data Engineer,Senior/Expert,Full-time,214500,USD,214500,US,US,0,Medium
2023,Data Engineer,Senior/Expert,Full-time,134500,USD,134500,US,US,0,Medium
2023,Data Scientist,Senior/Expert,Full-time,136000,USD,136000,US,US,100,Medium
2023,Data Scientist,Senior/Expert,Full-time,104000,USD,104000,US,US,100,Medium
2023,Data Analyst,Mid/Intermediate,Full-time,110000,USD,110000,US,US,100,Medium
2023,Data Analyst,Mid/Intermediate,Full-time,90000,USD,90000,US,US,100,Medium
2023,Data Engineer,Senior/Expert,Full-time,145000,USD,145000,US,US,0,Medium
2023,Data Engineer,Senior/Expert,Full-time,115000,USD,115000,US,US,0,Medium
2023,Data Scientist,Mid/Intermediate,Full-time,143000,USD,143000,US,US,100,Medium
2023,Data Scientist,Mid/Intermediate,Full-time,117000,USD,117000,US,US,100,Medium
2023,Applied Scientist,Senior/Expert,Full-time,216000,USD,216000,US,US,100,Medium
2023,Applied Scientist,Senior/Expert,Full-time,184000,USD,184000,US,US,100,Medium
2023,Machine Learning Engineer,Senior/Expert,Full-time,324000,USD,324000,US,US,0,Medium
2023,Machine Learning Engineer,Senior/Expert,Full-time,159000,USD,159000,US,US,0,Medium
2023,Data Scientist,Senior/Expert,Full-time,130000,USD,130000,US,US,100,Medium
2023,Data Scientist,Senior/Expert,Full-time,110000,USD,110000,US,US,100,Medium
2023,Data Scientist,Mid/Intermediate,Full-time,60000,GBP,73824,GB,GB,0,Medium
2023,Data Scientist,Mid/Intermediate,Full-time,45000,GBP,55368,GB,GB,0,Medium
2023,Research Engineer,Senior/Expert,Full-time,370000,USD,370000,US,US,0,Medium
2023,Research Engineer,Senior/Expert,Full-time,200000,USD,200000,US,US,0,Medium
2023,Data Scientist,Senior/Expert,Full-time,275300,USD,275300,US,US,100,Medium
2023,Data Scientist,Senior/Expert,Full-time,183500,USD,183500,US,US,100,Medium
2023,Applied Scientist,Senior/Expert,Full-time,230000,USD,230000,US,US,100,Medium
2023,Applied Scientist,Senior/Expert,Full-time,196000,USD,196000,US,US,100,Medium
2023,Machine Learning Engineer,Senior/Expert,Full-time,253000,USD,253000,US,US,100,Medium
2023,Machine Learning Engineer,Senior/Expert,Full-time,172040,USD,172040,US,US,100,Medium
2023,Data Engineer,Senior/Expert,Full-time,234000,USD,234000,US,US,100,Medium
2023,Data Engineer,Senior/Expert,Full-time,178000,USD,178000,US,US,100,Medium
2023,Data Scientist,Senior/Expert,Full-time,164000,USD,164000,US,US,100,Medium
2023,Business Intelligence Specialist,Mid/Intermediate,Full-time,109238,USD,109238,US,US,0,Medium
2023,Business Intelligence Specialist,Mid/Intermediate,Full-time,68274,USD,68274,US,US,0,Medium
2023,Data Engineer,Mid/Intermediate,Full-time,53000,EUR,57223,FR,FR,100,Medium
2023,Data Engineer,Mid/Intermediate,Full-time,48000,EUR,51824,FR,FR,100,Medium
2023,Data Analyst,Entry/Junior,Full-time,80800,USD,80800,US,US,0,Medium
2023,Data Analyst,Entry/Junior,Full-time,53800,USD,53800,US,US,0,Medium
2023,Data Engineer,Senior/Expert,Full-time,258900,USD,258900,US,US,100,Medium
2023,Data Engineer,Senior/Expert,Full-time,176080,USD,176080,US,US,100,Medium
2023,Data Engineer,Mid/Intermediate,Full-time,57500,GBP,70748,GB,GB,0,Medium
2023,Data Engineer,Mid/Intermediate,Full-time,54500,GBP,67056,GB,GB,0,Medium
2023,Business Intelligence Analyst,Mid/Intermediate,Full-time,120000,USD,120000,US,US,100,Medium
2023,Business Intelligence Analyst,Mid/Intermediate,Full-time,110000,USD,110000,US,US,100,Medium
2023,Machine Learning Engineer,Senior/Expert,Full-time,309000,USD,309000,US,US,0,Medium
